	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K09522	K09522	"K09522: DnaJ homolog, subfamily C, member 2"	72	14	1.02E-07	6.94E-08	0.681882883	0.512421669
K02891	K02891	K02891: large subunit ribosomal protein L22e	72	14	2.24E-07	2.14E-07	0.952834661	0.512421669
K10884	K10884	K10884: ATP-dependent DNA helicase 2 subunit 1	72	14	1.31E-07	2.65E-08	0.202952526	0.512421669
K08497	K08497	K08497: protein transport protein SEC20	72	14	6.68E-08	7.29E-08	1.091240581	0.512421669
K01556	K01556	K01556: kynureninase [EC:3.7.1.3]	72	14	2.19E-07	2.55E-08	0.116184863	0.512421669
K15620	K15620	K15620: golgi phosphoprotein 3	72	14	1.44E-07	3.45E-08	0.23894606	0.512421669
K08658	K08658	K08658: prenyl protein peptidase [EC:3.4.22.-]	72	14	1.32E-07	7.72E-08	0.586274013	0.512421669
K10794	K10794	K10794: D-proline reductase (dithiol) PrdB [EC:1.21.4.1]	72	14	2.19E-06	0	0	0.512421669
K18716	K18716	K18716: NO_NAME	72	14	2.80E-07	1.02E-07	0.364006126	0.512421669
K01584	K01584	K01584: arginine decarboxylase [EC:4.1.1.19]	72	14	7.31E-07	0	0	0.512421669
K06647	K06647	K06647: transcription factor MBP1	72	14	1.65E-07	4.29E-08	0.259192491	0.512421669
K08856	K08856	K08856: serine/threonine kinase 16	72	14	1.79E-07	2.04E-07	1.137391524	0.512421669
K10752	K10752	K10752: histone-binding protein RBBP4	72	14	7.86E-08	4.64E-08	0.590552393	0.512421669
K10743	K10743	K10743: ribonuclease H2 subunit A [EC:3.1.26.4]	72	14	2.51E-07	9.04E-08	0.360689135	0.512421669
K10733	K10733	K10733: GINS complex subunit 2	72	14	1.94E-07	1.22E-07	0.627753514	0.512421669
K10729	K10729	K10729: DNA replication regulator SLD2	72	14	1.37E-07	6.66E-08	0.486508438	0.512421669
K00511	K00511	K00511: squalene monooxygenase [EC:1.14.14.17]	72	14	1.85E-07	4.19E-08	0.226365829	0.512421669
K01358	K01358	"K01358: ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	72	14	0.001399016	0.001472349	1.052417487	0.512421669
K08787	K08787	K08787: dipeptidyl aminopeptidase Ste13	72	14	1.07E-07	8.40E-08	0.786854325	0.512421669
K10686	K10686	K10686: ubiquitin-activating enzyme E1 C [EC:6.2.1.45]	72	14	1.47E-07	1.63E-07	1.105507726	0.512421669
K08341	K08341	K08341: GABA(A) receptor-associated protein	72	14	1.55E-07	2.68E-07	1.735182168	0.512421669
K03508	K03508	K03508: DNA polymerase zeta [EC:2.7.7.7]	72	14	4.46E-08	7.18E-08	1.611748491	0.512421669
K11245	K11245	K11245: mating pheromone-induced death protein 2	72	14	1.75E-07	5.60E-08	0.318928653	0.512421669
K15304	K15304	K15304: Ran-binding protein 3	72	14	2.56E-07	8.07E-08	0.315710417	0.512421669
K15322	K15322	K15322: NO_NAME	72	14	1.38E-07	1.35E-07	0.979454489	0.512421669
K15326	K15326	K15326: NO_NAME	72	14	1.19E-07	6.34E-08	0.535208246	0.512421669
K03349	K03349	K03349: anaphase-promoting complex subunit 2	72	14	7.79E-08	6.63E-08	0.850719587	0.512421669
K18824	K18824	K18824: dihydropteroate synthase type 2 [EC:2.5.1.15]	72	14	1.70E-06	0	0	0.512421669
K18804	K18804	K18804: [cytochrome c]-lysine N-methyltransferase [EC:2.1.1.59]	72	14	5.60E-08	8.71E-08	1.554559042	0.512421669
K08329	K08329	K08329: autophagy-related protein 17	72	14	3.33E-08	5.04E-08	1.514059939	0.512421669
K01663	K01663	K01663: glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]	72	14	9.52E-08	4.97E-08	0.522696142	0.512421669
K11130	K11130	K11130: H/ACA ribonucleoprotein complex subunit 3	72	14	9.90E-06	0	0	0.512421669
K00414	K00414	K00414: ubiquinol-cytochrome c reductase core subunit 1	72	14	1.30E-07	5.12E-08	0.392650246	0.512421669
K00416	K00416	K00416: ubiquinol-cytochrome c reductase subunit 6	72	14	3.80E-07	1.00E-07	0.264730796	0.512421669
K15450	K15450	K15450: NO_NAME	72	14	2.34E-07	1.75E-07	0.746049866	0.512421669
K15454	K15454	K15454: NO_NAME	72	14	1.63E-07	5.63E-08	0.344852139	0.512421669
K11090	K11090	K11090: lupus La protein	72	14	4.87E-08	9.77E-08	2.005936044	0.512421669
K15543	K15543	K15543: RNA end formation protein 2	72	14	5.95E-08	1.33E-07	2.227902114	0.512421669
K03355	K03355	K03355: anaphase-promoting complex subunit 8	72	14	1.49E-07	7.24E-08	0.485880125	0.512421669
K00556	K00556	K00556: tRNA (guanosine-2'-O-)-methyltransferase	72	14	6.29E-05	9.41E-05	1.496477885	0.512421669
K10669	K10669	K10669: 2'-phosphotransferase	72	14	1.97E-07	1.50E-07	0.7644002	0.512421669
K03786	K03786	K03786: 3-dehydroquinate dehydratase II [EC:4.2.1.10]	72	14	0.000173557	0.000124605	0.717951285	0.512421669
K17918	K17918	K17918: sorting nexin-3/12	72	14	1.22E-07	1.25E-07	1.027573894	0.512421669
K05286	K05286	"K05286: phosphatidylinositol glycan, class B [EC:2.4.1.-]"	72	14	1.37E-07	4.11E-08	0.299912783	0.512421669
K09423	K09423	K09423: Myb-like DNA-binding protein BAS1	72	14	1.24E-07	9.25E-08	0.74850913	0.512421669
K05533	K05533	K05533: mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]	72	14	1.22E-07	2.26E-08	0.185195454	0.512421669
K05535	K05535	"K05535: alpha 1,2-mannosyltransferase [EC:2.4.1.-]"	72	14	2.08E-07	3.38E-08	0.162906487	0.512421669
K09805	K09805	K09805: hypothetical protein	72	14	7.04E-06	0	0	0.512421669
K17260	K17260	K17260: NO_NAME	72	14	1.76E-07	4.13E-08	0.234500789	0.512421669
K05284	K05284	"K05284: phosphatidylinositol glycan, class M [EC:2.4.1.-]"	72	14	1.64E-07	8.12E-08	0.493930407	0.512421669
K09456	K09456	K09456: putative acyl-CoA dehydrogenase	72	14	6.50E-05	0.000101358	1.559128773	0.512421669
K09728	K09728	K09728: hypothetical protein	72	14	1.22E-05	0	0	0.512421669
K17671	K17671	K17671: NO_NAME	72	14	1.19E-07	2.19E-08	0.18395398	0.512421669
K17679	K17679	K17679: NO_NAME	72	14	7.09E-08	3.79E-08	0.534906346	0.512421669
K17788	K17788	K17788: NO_NAME	72	14	1.89E-07	8.18E-08	0.432709925	0.512421669
K05847	K05847	K05847: osmoprotectant transport system ATP-binding protein	72	14	6.67E-05	7.96E-05	1.193305434	0.512421669
K17785	K17785	K17785: NO_NAME	72	14	7.97E-08	3.44E-08	0.431937789	0.512421669
K09650	K09650	K09650: rhomboid-like protein	72	14	1.72E-07	5.60E-08	0.325983642	0.512421669
K09777	K09777	K09777: hypothetical protein	72	14	0.000157067	0.000176353	1.122788887	0.512421669
K05275	K05275	K05275: pyridoxine 4-dehydrogenase [EC:1.1.1.65]	72	14	1.46E-07	5.58E-08	0.381947577	0.512421669
K17967	K17967	K17967: NO_NAME	72	14	4.17E-08	6.15E-08	1.475569847	0.512421669
K17968	K17968	K17968: NO_NAME	72	14	2.67E-07	3.85E-07	1.444066613	0.512421669
K16230	K16230	K16230: NO_NAME	72	14	1.66E-07	8.59E-08	0.518998345	0.512421669
K10364	K10364	"K10364: capping protein (actin filament) muscle Z-line, alpha"	72	14	2.37E-07	1.04E-07	0.437376669	0.512421669
K18191	K18191	"K18191: ATP synthase assembly factor FMC1, mitochondrial"	72	14	2.18E-07	3.01E-07	1.37960328	0.512421669
K10276	K10276	K10276: F-box and leucine-rich repeat protein 10	72	14	5.97E-08	7.59E-08	1.272823292	0.512421669
K00621	K00621	K00621: glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	72	14	1.97E-07	1.86E-07	0.942271286	0.512421669
K18168	K18168	K18168: NO_NAME	72	14	5.49E-08	1.14E-07	2.068659252	0.512421669
K09104	K09104	"K09104: bHLH factor, other"	72	14	1.63E-07	1.32E-07	0.809183583	0.512421669
K01138	K01138	K01138: NO_NAME	72	14	7.83E-05	0.000115069	1.470037494	0.512421669
K01126	K01126	K01126: glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	72	14	0.000683019	0.000652826	0.955795262	0.512421669
K16365	K16365	K16365: NO_NAME	72	14	5.79E-08	1.26E-07	2.170630487	0.512421669
K18044	K18044	K18044: NO_NAME	72	14	5.32E-07	2.88E-07	0.540154565	0.512421669
K16695	K16695	K16695: NO_NAME	72	14	3.89E-05	5.89E-05	1.512164689	0.512421669
K06163	K06163	K06163: alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	72	14	3.95E-05	7.12E-05	1.801287871	0.512421669
K04532	K04532	K04532: amyloid beta precursor protein binding protein 1	72	14	1.86E-07	2.47E-08	0.133111441	0.512421669
K16833	K16833	K16833: NO_NAME	72	14	1.43E-07	2.79E-07	1.954100766	0.512421669
K09958	K09958	K09958: hypothetical protein	72	14	7.74E-06	7.07E-05	9.125904791	0.512421669
K04713	K04713	K04713: sphinganine C4-monooxygenase [EC:1.14.18.5]	72	14	2.14E-07	1.13E-07	0.526367148	0.512421669
K11376	K11376	K11376: elongator complex protein 5	72	14	1.44E-07	6.32E-08	0.438192127	0.512421669
K18840	K18840	K18840: NO_NAME	72	14	6.92E-05	9.11E-05	1.316886824	0.512421669
K11339	K11339	K11339: mortality factor 4-like protein 1	72	14	1.55E-07	2.94E-08	0.189587802	0.512421669
K18849	K18849	K18849: NO_NAME	72	14	2.00E-07	5.07E-08	0.253355656	0.512421669
K11667	K11667	K11667: INO80 complex subunit C	72	14	8.00E-08	8.32E-08	1.040949445	0.512421669
K11672	K11672	K11672: actin-related protein 5	72	14	1.73E-07	3.29E-08	0.190488477	0.512421669
K11673	K11673	K11673: actin-related protein 8	72	14	1.28E-07	2.25E-08	0.175859907	0.512421669
K11676	K11676	K11676: Ino eighty subunit 2	72	14	8.24E-08	6.17E-08	0.748412099	0.512421669
K15053	K15053	K15053: charged multivesicular body protein 7	72	14	8.86E-08	1.14E-07	1.292419831	0.512421669
K15015	K15015	K15015: solute carrier family 32 (vesicular inhibitory amino acid transporter)	72	14	1.97E-07	3.78E-08	0.19176171	0.512421669
K14997	K14997	K14997: NO_NAME	72	14	8.08E-08	4.85E-08	0.599656301	0.512421669
K18987	K18987	"K18987: two-component system, OmpR family, response regulator Irr"	72	14	1.41E-06	6.68E-07	0.473656692	0.512421669
K11763	K11763	K11763: chromatin structure-remodeling complex subunit RSC9	72	14	1.52E-07	8.73E-08	0.573778527	0.512421669
K11768	K11768	K11768: actin-related protein 9	72	14	1.47E-07	1.11E-07	0.754138016	0.512421669
K11773	K11773	K11773: SWI/SNF complex component SNF6	72	14	1.92E-07	3.62E-08	0.188025504	0.512421669
K03015	K03015	K03015: DNA-directed RNA polymerase II subunit RPB7	72	14	1.70E-07	1.28E-07	0.755429838	0.512421669
K11879	K11879	K11879: proteasome chaperone 1	72	14	2.25E-07	6.24E-08	0.277671412	0.512421669
K00316	K00316	K00316: spermidine dehydrogenase [EC:1.5.99.6]	72	14	3.50E-07	0	0	0.512421669
K11881	K11881	K11881: proteasome chaperone 3	72	14	1.45E-07	1.09E-07	0.752005067	0.512421669
K02981	K02981	K02981: small subunit ribosomal protein S2e	72	14	1.68E-07	4.97E-08	0.295721199	0.512421669
K02975	K02975	K02975: small subunit ribosomal protein S25e	72	14	2.13E-07	2.25E-07	1.056596636	0.512421669
K14860	K14860	K14860: NO_NAME	72	14	1.81E-07	1.95E-07	1.072971881	0.512421669
K11963	K11963	K11963: urea transport system ATP-binding protein	72	14	2.45E-06	1.79E-05	7.305817169	0.512421669
K02941	K02941	K02941: large subunit ribosomal protein LP0	72	14	9.82E-08	8.38E-08	0.854031585	0.512421669
K07795	K07795	K07795: putative tricarboxylic transport membrane protein	72	14	4.50E-07	0	0	0.512421669
K12183	K12183	K12183: ESCRT-I complex subunit TSG101	72	14	8.89E-08	3.11E-08	0.349960151	0.512421669
K12191	K12191	K12191: charged multivesicular body protein 2A	72	14	1.82E-07	1.16E-07	0.638137047	0.512421669
K01844	K01844	"K01844: beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]"	72	14	6.03E-06	8.57E-06	1.42132154	0.512421669
K14853	K14853	K14853: NO_NAME	72	14	3.08E-08	8.32E-08	2.702343777	0.512421669
K14849	K14849	K14849: NO_NAME	72	14	1.42E-07	1.18E-07	0.828543315	0.512421669
K14847	K14847	K14847: NO_NAME	72	14	7.60E-08	5.79E-08	0.762298864	0.512421669
K14845	K14845	K14845: NO_NAME	72	14	1.62E-07	9.57E-08	0.590402819	0.512421669
K11885	K11885	K11885: DNA damage-inducible protein 1	72	14	1.04E-07	1.18E-07	1.141623518	0.512421669
K03122	K03122	K03122: transcription initiation factor TFIIA large subunit	72	14	8.95E-08	1.71E-07	1.914382972	0.512421669
K11759	K11759	K11759: chromatin structure-remodeling complex subunit RSC4	72	14	9.12E-08	1.26E-07	1.383705415	0.512421669
K03130	K03130	K03130: transcription initiation factor TFIID subunit 5	72	14	9.44E-08	4.69E-08	0.496840147	0.512421669
K03163	K03163	K03163: DNA topoisomerase I	72	14	1.94E-07	5.27E-08	0.272047003	0.512421669
K15147	K15147	K15147: NO_NAME	72	14	7.28E-08	7.22E-08	0.992277923	0.512421669
K15136	K15136	K15136: NO_NAME	72	14	1.02E-07	6.35E-08	0.624848359	0.512421669
K11568	K11568	K11568: DASH complex subunit DAD3	72	14	2.34E-07	2.33E-07	0.99520474	0.512421669
K15148	K15148	K15148: NO_NAME	72	14	7.46E-08	8.07E-08	1.081710285	0.512421669
K00326	K00326	K00326: cytochrome-b5 reductase [EC:1.6.2.2]	72	14	4.29E-07	1.12E-07	0.261992919	0.512421669
K15118	K15118	K15118: NO_NAME	72	14	1.98E-07	8.85E-08	0.447494298	0.512421669
K06982	K06982	K06982: pantoate kinase [EC:2.7.1.169]	72	14	9.30E-07	0	0	0.512421669
K11472	K11472	K11472: glycolate oxidase FAD binding subunit	72	14	3.24E-05	4.15E-05	1.278833287	0.512421669
K11427	K11427	"K11427: histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43]"	72	14	8.67E-08	4.32E-08	0.498238041	0.512421669
K11422	K11422	K11422: histone-lysine N-methyltransferase SETD1 [EC:2.1.1.43]	72	14	8.66E-08	1.03E-08	0.118979674	0.512421669
K03135	K03135	K03135: transcription initiation factor TFIID subunit 11	72	14	1.05E-07	6.13E-08	0.586068395	0.512421669
K12148	K12148	K12148: biofilm regulator BssS	72	14	8.14E-05	0.000109045	1.338920147	0.516194425
K02506	K02506	K02506: leader peptidase HopD	72	14	2.37E-06	1.03E-05	4.318807682	0.516194425
K11211	K11211	K11211: 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	72	14	3.37E-06	1.69E-06	0.501696646	0.516194425
K00150	K00150	K00150: glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	72	14	9.93E-06	9.22E-07	0.092846308	0.516194425
K11707	K11707	K11707: manganese/zinc/iron transport system substrate-binding protein	72	14	6.53E-06	5.64E-05	8.633915042	0.516194425
K04015	K04015	"K04015: formate-dependent nitrate reductase complex, transmembrane protein"	72	14	4.06E-05	7.69E-05	1.89667327	0.516194425
K02788	K02788	"K02788: PTS system, lactose-specific IIC component"	72	14	4.77E-06	3.50E-06	0.735363288	0.519981533
K01591	K01591	K01591: orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	72	14	0.001140622	0.001200257	1.052283447	0.519981533
K19338	K19338	K19338: NO_NAME	72	14	2.48E-05	7.85E-05	3.170774317	0.519981533
K02787	K02787	"K02787: PTS system, lactose-specific IIB component [EC:2.7.1.207]"	72	14	4.77E-06	3.50E-06	0.735363288	0.519981533
K03207	K03207	K03207: colanic acid biosynthesis protein WcaH	72	14	2.32E-05	3.44E-05	1.480296388	0.519981533
K03818	K03818	K03818: putative colanic acid biosynthesis acetyltransferase WcaF	72	14	0.000179925	0.000236476	1.314303528	0.519981533
K11106	K11106	K11106: L-tartrate/succinate antiporter	72	14	5.85E-05	8.53E-05	1.458698279	0.519981533
K02507	K02507	K02507: protein transport protein HofQ	72	14	5.72E-05	7.49E-05	1.309977271	0.519981533
K11131	K11131	K11131: H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]	72	14	7.05E-06	6.99E-08	0.009926729	0.519981533
K09134	K09134	K09134: hypothetical protein	72	14	1.49E-05	1.62E-05	1.085551322	0.519981533
K13018	K13018	"K13018: UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"	72	14	2.30E-06	2.07E-06	0.899663951	0.519981533
K08483	K08483	"K08483: phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]"	72	14	0.00060826	0.000548602	0.901920061	0.519981533
K14053	K14053	K14053: NO_NAME	72	14	3.88E-05	5.23E-05	1.349147043	0.519981533
K11893	K11893	K11893: type VI secretion system protein ImpJ	72	14	2.64E-06	1.49E-06	0.565094979	0.519981533
K11705	K11705	K11705: iron/zinc/manganese/copper transport system permease protein	72	14	2.43E-05	2.70E-05	1.111696547	0.519981533
K00955	K00955	K00955: bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	72	14	4.66E-05	6.14E-05	1.318516569	0.519981533
K13638	K13638	K13638: NO_NAME	72	14	5.58E-05	9.44E-05	1.691555176	0.519981533
K13934	K13934	K13934: NO_NAME	72	14	1.64E-06	5.22E-06	3.189303184	0.519981533
K12525	K12525	K12525: bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	72	14	4.62E-06	2.96E-05	6.418687595	0.523782919
K01355	K01355	K01355: omptin	72	14	2.50E-05	8.19E-05	3.279026251	0.523782919
K19058	K19058	K19058: NO_NAME	72	14	3.63E-06	1.76E-05	4.859327148	0.523782919
K01178	K01178	K01178: glucoamylase [EC:3.2.1.3]	72	14	4.13E-07	1.40E-07	0.338675743	0.523782919
K16348	K16348	K16348: NO_NAME	72	14	1.02E-05	0.00014109	13.80032633	0.523782919
K00681	K00681	K00681: gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	72	14	8.33E-05	0.000110858	1.33029205	0.523782919
K04086	K04086	K04086: ATP-dependent Clp protease ATP-binding subunit ClpL	72	14	1.18E-06	2.88E-07	0.2449525	0.523782919
K13954	K13954	K13954: alcohol dehydrogenase [EC:1.1.1.1]	72	14	5.61E-05	9.13E-05	1.627688263	0.527598505
K01077	K01077	K01077: alkaline phosphatase [EC:3.1.3.1]	72	14	0.000405377	0.000518051	1.277947523	0.527598505
K03977	K03977	K03977: GTP-binding protein	72	14	0.001108434	0.001017773	0.918208686	0.527598505
K07267	K07267	K07267: porin	72	14	4.68E-05	8.90E-05	1.902041334	0.527598505
K02814	K02814	"K02814: PTS system, sorbose-specific IIC component"	72	14	1.85E-05	9.67E-06	0.52272541	0.527598505
K07575	K07575	K07575: PUA domain protein	72	14	6.67E-06	1.16E-07	0.01745189	0.527598505
K06212	K06212	K06212: formate transporter	72	14	1.06E-05	7.08E-06	0.665495236	0.527598505
K02921	K02921	K02921: large subunit ribosomal protein L37Ae	72	14	7.14E-06	1.26E-07	0.017705819	0.527598505
K01153	K01153	"K01153: type I restriction enzyme, R subunit"	72	14	0.000359348	0.000352421	0.980724256	0.527598505
K15429	K15429	K15429: NO_NAME	72	14	6.22E-06	2.63E-08	0.004230897	0.527598505
K01928	K01928	"K01928: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"	72	14	0.000706005	0.000695928	0.985727546	0.527598505
K03675	K03675	K03675: glutaredoxin 2	72	14	3.39E-05	4.92E-05	1.451267597	0.527598505
K07217	K07217	K07217: Mn-containing catalase	72	14	1.64E-05	4.29E-05	2.619415997	0.527598505
K07339	K07339	K07339: hypothetical protein	72	14	3.52E-06	2.46E-06	0.698443447	0.527598505
K00073	K00073	K00073: ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	72	14	2.29E-05	5.21E-05	2.273262785	0.527598505
K02594	K02594	K02594: homocitrate synthase NifV [EC:2.3.3.14]	72	14	2.01E-07	3.28E-06	16.35505858	0.527598505
K08478	K08478	K08478: phosphoglycerate transport regulatory protein PgtC	72	14	1.68E-06	3.24E-06	1.931836317	0.527598505
K01768	K01768	K01768: adenylate cyclase [EC:4.6.1.1]	72	14	4.61E-07	9.15E-07	1.983979336	0.527598505
K02773	K02773	"K02773: PTS system, galactitol-specific IIA component [EC:2.7.1.200]"	72	14	0.000139034	0.000193101	1.388877268	0.527598505
K07248	K07248	K07248: lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]	72	14	4.13E-05	6.71E-05	1.624526262	0.527598505
K07797	K07797	K07797: multidrug resistance protein K	72	14	6.42E-05	8.70E-05	1.355147124	0.531428215
K11041	K11041	K11041: exfoliative toxin A/B	72	14	3.81E-05	4.03E-05	1.056801808	0.531428215
K09903	K09903	K09903: uridylate kinase [EC:2.7.4.22]	72	14	0.001092264	0.001148117	1.051135369	0.535271969
K03862	K03862	K03862: vanillate monooxygenase [EC:1.14.13.82]	72	14	2.45E-06	1.41E-05	5.782035897	0.535271969
K00294	K00294	K00294: 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	72	14	3.99E-05	4.18E-05	1.046285959	0.535271969
K04334	K04334	K04334: major curlin subunit	72	14	6.87E-05	0.000107187	1.560977793	0.535271969
K07008	K07008	K07008: gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]	72	14	5.66E-05	8.68E-05	1.53354865	0.535271969
K01482	K01482	K01482: dimethylargininase	72	14	5.42E-06	1.59E-06	0.29312885	0.535271969
K00076	K00076	K00076: 7-alpha-hydroxysteroid dehydrogenase	72	14	5.48E-05	7.88E-05	1.437606701	0.535271969
K03208	K03208	K03208: colanic acid biosynthesis glycosyl transferase WcaI	72	14	1.95E-05	2.89E-05	1.48095896	0.535271969
K01912	K01912	K01912: phenylacetate-CoA ligase [EC:6.2.1.30]	72	14	0.000305207	0.000294186	0.963888648	0.535271969
K02902	K02902	K02902: large subunit ribosomal protein L28	72	14	0.001349132	0.001444625	1.070781098	0.535271969
K11600	K11600	K11600: exosome complex component RRP41	72	14	9.60E-06	5.78E-08	0.006017962	0.535271969
K01817	K01817	K01817: phosphoribosylanthranilate isomerase [EC:5.3.1.24]	72	14	0.000454262	0.00046323	1.019742296	0.535271969
K11961	K11961	K11961: urea transport system permease protein	72	14	2.33E-06	1.88E-05	8.061561392	0.535271969
K02889	K02889	K02889: large subunit ribosomal protein L21e	72	14	7.43E-06	1.87E-07	0.02517245	0.535271969
K03761	K03761	"K03761: MFS transporter, MHS family, alpha-ketoglutarate permease"	72	14	6.26E-05	8.56E-05	1.366551636	0.535271969
K01232	K01232	K01232: maltose-6'-phosphate glucosidase [EC:3.2.1.122]	72	14	5.07E-05	3.58E-05	0.707530155	0.535271969
K12589	K12589	K12589: exosome complex component RRP42	72	14	8.54E-06	8.57E-08	0.010036643	0.535271969
K00183	K00183	"K00183: molybdopterin oxidoreductase, molybdopterin binding subunit"	72	14	4.81E-06	4.55E-06	0.946113675	0.539129686
K07559	K07559	K07559: putative RNA 2'-phosphotransferase	72	14	9.54E-05	8.34E-05	0.873439179	0.539129686
K10543	K10543	K10543: D-xylose transport system substrate-binding protein	72	14	7.78E-05	9.60E-05	1.23320438	0.539129686
K10986	K10986	"K10986: PTS system, galactosamine-specific IID component"	72	14	2.49E-05	2.64E-05	1.061192669	0.539129686
K01175	K01175	K01175: NO_NAME	72	14	6.18E-05	8.33E-05	1.347657875	0.539129686
K11144	K11144	K11144: primosomal protein DnaI	72	14	1.84E-05	2.12E-05	1.153743795	0.539129686
K02126	K02126	K02126: F-type H+-transporting ATPase subunit a	72	14	1.25E-06	8.00E-07	0.640543482	0.539129686
K07354	K07354	K07354: outer membrane usher protein	72	14	1.89E-05	1.85E-05	0.980349486	0.539129686
K02550	K02550	K02550: glycolate permease	72	14	3.12E-05	5.03E-05	1.614505389	0.539129686
K09939	K09939	K09939: hypothetical protein	72	14	0.000126405	0.000139719	1.105331034	0.539129686
K02201	K02201	K02201: pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	72	14	9.44E-06	1.89E-07	0.019987408	0.543001285
K09457	K09457	K09457: 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	72	14	0.000725374	0.000834988	1.151114967	0.543001285
K19090	K19090	K19090: NO_NAME	72	14	8.09E-06	1.97E-06	0.243272049	0.543001285
K11202	K11202	"K11202: PTS system, fructose-specific IIB-like component"	72	14	0.000194129	0.000268441	1.382796575	0.543001285
K01929	K01929	K01929: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	72	14	0.000651368	0.000593092	0.910533988	0.543001285
K04651	K04651	K04651: hydrogenase nickel incorporation protein HypA	72	14	0.000198747	0.000237198	1.193466208	0.543001285
K15726	K15726	K15726: NO_NAME	72	14	2.82E-05	3.38E-05	1.196395814	0.543001285
K07442	K07442	K07442: tRNA (adenine-N1-)-methyltransferase	72	14	3.57E-05	4.09E-05	1.143645854	0.543001285
K15547	K15547	K15547: NO_NAME	72	14	1.01E-05	1.46E-05	1.435811038	0.543001285
K11561	K11561	K11561: kinetochor protein Mis14/NSL1	72	14	6.37E-08	3.21E-07	5.041243019	0.543001285
K01192	K01192	K01192: beta-mannosidase [EC:3.2.1.25]	72	14	7.83E-05	0.000142465	1.820621578	0.543001285
K03754	K03754	K03754: translation initiation factor eIF-2B subunit beta	72	14	1.57E-07	1.18E-07	0.750821291	0.543001285
K16138	K16138	K16138: NO_NAME	72	14	6.88E-05	0.000107357	1.560302724	0.543001285
K07045	K07045	K07045: NO_NAME	72	14	0.000206204	0.000227562	1.103578779	0.543001285
K17204	K17204	K17204: erythritol transport system ATP-binding protein	72	14	2.73E-06	4.98E-06	1.824279514	0.543001285
K00663	K00663	K00663: aminoglycoside N6'-acetyltransferase	72	14	1.34E-05	2.78E-05	2.075027737	0.543001285
K08986	K08986	K08986: putative membrane protein	72	14	4.66E-05	4.92E-05	1.05565845	0.543001285
K00426	K00426	K00426: cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.14]	72	14	0.000293054	0.000370057	1.262759266	0.543001285
K01034	K01034	K01034: acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]	72	14	4.70E-05	3.26E-05	0.694255124	0.543001285
K00019	K00019	K00019: 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	72	14	8.79E-06	3.81E-05	4.334566366	0.543001285
K02987	K02987	K02987: small subunit ribosomal protein S4e	72	14	5.73E-06	1.29E-07	0.022517436	0.543001285
K01476	K01476	K01476: arginase [EC:3.5.3.1]	72	14	2.21E-05	2.31E-05	1.045737464	0.543001285
K11900	K11900	K11900: type VI secretion system protein ImpC	72	14	1.99E-06	3.57E-07	0.179667032	0.546886682
K19350	K19350	K19350: lincosamide and streptogramin A transport system ATP-binding/permease protein	72	14	5.19E-05	4.46E-05	0.858345264	0.546886682
K10973	K10973	"K10973: IclR family transcriptional regulator, negative regulator of"	72	14	6.29E-05	0.00010508	1.669905093	0.546886682
K00001	K00001	K00001: alcohol dehydrogenase [EC:1.1.1.1]	72	14	7.76E-05	0.000105607	1.360416065	0.546886682
K03807	K03807	K03807: AmpE protein	72	14	8.00E-05	0.00012267	1.533699902	0.546886682
